"23843415052590402","2018-11-26","2019-01-02"
"23843420018580402","2018-11-26","2019-01-02"
"23843421563510402","2018-11-26","2019-01-02"
"23843423649810402","2018-11-26","2019-01-02"
"23843423656160402","2018-11-26","2019-01-02"
"23843423680890402","2018-11-26","2019-01-02"
"23843425394020402","2018-11-26","2019-01-02"
"23843425401230402","2018-11-26","2019-01-02"
"23843427212310402","2018-11-26","2019-01-02"
"23843427223640402","2018-11-26","2019-01-02"
"23843690358020402","2019-05-24","2019-06-17"
"23843690358900402","2019-05-24","2019-06-17"
"23843710538800402","2019-05-24","2019-06-17"
"23843966279920402","2019-09-18","2019-09-30"
"23843983083440402","2019-09-18","2019-09-30"
"23843947942410402","2019-09-11","2019-09-29"
"23843427241620402","2018-11-26","2019-01-02"
"23843427265670402","2018-11-26","2019-01-02"
"23843427418450402","2018-11-26","2019-01-02"
"23843427419790402","2018-11-26","2019-01-02"
"23843947942420402","2019-09-11","2019-09-29"
"23843427423470402","2018-11-26","2019-01-02"
"23843947942430402","2019-09-11","2019-09-29"
"23843710540050402","2019-05-24","2019-06-17"
"23843712565010402","2019-05-24","2019-06-17"
"23843947942440402","2019-09-11","2019-09-29"
"23843947942450402","2019-09-11","2019-09-29"
"23843947942460402","2019-09-11","2019-09-29"
"23843712569250402","2019-05-24","2019-06-17"
"23843716604770402","2019-05-24","2019-06-17"
"23843717031680402","2019-05-24","2019-06-17"
"23843430876240402","2018-11-26","2019-01-02"
"23843358846550402","2018-11-01","2018-11-26"
"23843364572910402","2018-11-01","2018-11-26"
"23843371407520402","2018-11-01","2018-11-26"
"23843801127650402","2019-07-16","2019-07-19"
"23843371418430402","2018-11-01","2018-11-26"
"23843947942470402","2019-09-11","2019-09-29"
"23843947942480402","2019-09-11","2019-09-29"
"23843947932510402","2019-09-11","2019-09-29"
"23843717032730402","2019-05-24","2019-06-17"
"23843690341130402","2019-05-24","2019-06-02"
"23843690341140402","2019-05-24","2019-06-02"
"23843690341150402","2019-05-24","2019-06-02"
"23843690328000402","2019-05-24","2019-06-02"
"23843690328680402","2019-05-24","2019-06-02"
"23843377437370402","2018-11-01","2018-11-26"
"23843382384220402","2018-11-01","2018-11-26"
"23843382391380402","2018-11-01","2018-11-26"
"23843382447610402","2018-11-01","2018-11-26"
"23843382448780402","2018-11-01","2018-11-26"
"23843382449810402","2018-11-01","2018-11-26"
"23843947933460402","2019-09-11","2019-09-29"
"23843947935360402","2019-09-11","2019-09-29"
"23843947936190402","2019-09-11","2019-09-29"
"23843690338910402","2019-05-24","2019-06-02"
"23843677932290402","2019-05-17","2019-05-19"
"23843382451160402","2018-11-01","2018-11-26"
"23843390330240402","2018-11-01","2018-11-26"
"23843390332010402","2018-11-01","2018-11-26"
"23843390345230402","2018-11-01","2018-11-26"
"23843395855020402","2018-11-01","2018-11-26"
"23843395856210402","2018-11-01","2018-11-26"
"23843395857020402","2018-11-01","2018-11-26"
"23843395897860402","2018-11-01","2018-11-26"
"23843395901690402","2018-11-01","2018-11-26"
"23843947936910402","2019-09-11","2019-09-29"
"23843947936920402","2019-09-11","2019-09-29"
"23843677932300402","2019-05-17","2019-05-19"
"23843677932370402","2019-05-17","2019-05-19"
"23843677901620402","2019-05-17","2019-05-19"
"23843947936930402","2019-09-11","2019-09-29"
"23843947936940402","2019-09-11","2019-09-29"
"23843947093290402","2019-09-11","2019-09-29"
"23843801128780402","2019-07-16","2019-07-19"
"23843801129680402","2019-07-16","2019-07-19"
"23843801130610402","2019-07-16","2019-07-19"
"23843801131350402","2019-07-16","2019-07-19"
"23843801132000402","2019-07-16","2019-07-19"
"23843801132550402","2019-07-16","2019-07-19"
"23843677902670402","2019-05-17","2019-05-19"
"23843677905570402","2019-05-17","2019-05-19"
"23843677909350402","2019-05-17","2019-05-19"
"23843677915010402","2019-05-17","2019-05-19"
"23843677925910402","2019-05-17","2019-05-19"
"23843677927270402","2019-05-17","2019-05-19"
"23843677928800402","2019-05-17","2019-05-19"
"23843947116460402","2019-09-11","2019-09-29"
"23843947124710402","2019-09-11","2019-09-29"
"23843947132170402","2019-09-11","2019-09-29"
"23843395950190402","2018-11-01","2018-11-26"
"23843395952210402","2018-11-01","2018-11-26"
"23843349145700402","2018-10-26","2018-11-26"
"23843354391140402","2018-10-26","2018-11-26"
"23843947141670402","2019-09-11","2019-09-29"
"23843911508070402","2019-08-29","2019-08-29"
"23843677931310402","2019-05-17","2019-05-19"
"23843678274120402","2019-05-17","2019-05-19"
"23843672765060402","2019-05-15","2019-05-19"
"23843672779430402","2019-05-15","2019-05-19"
"23843790245110402","2019-07-12","2019-07-19"
"23843790515110402","2019-07-12","2019-07-19"
"23843911508790402","2019-08-29","2019-08-29"
"23843911511430402","2019-08-29","2019-08-29"
"23843911514570402","2019-08-29","2019-08-29"
"23843355875980402","2018-10-26","2018-11-26"
"23843358830800402","2018-10-26","2018-11-26"
"23843358833150402","2018-10-26","2018-11-26"
"23843366292440402","2018-10-26","2018-11-26"
"23843677941050402","2019-05-15","2019-05-19"
"23843677942680402","2019-05-15","2019-05-19"
"23843658709900402","2019-05-07","2019-05-08"
"23843790515120402","2019-07-12","2019-07-19"
"23843790515130402","2019-07-12","2019-07-19"
"23843790515140402","2019-07-12","2019-07-19"
"23843658712510402","2019-05-07","2019-05-08"
"23843652090940402","2019-05-03","2019-05-05"
"23843652091660402","2019-05-03","2019-05-05"
"23843652105780402","2019-05-03","2019-05-05"
"23843366295090402","2018-10-26","2018-11-26"
"23843366296630402","2018-10-26","2018-11-26"
"23843367611740402","2018-10-26","2018-11-26"
"23843367624380402","2018-10-26","2018-11-26"
"23843367732270402","2018-10-26","2018-11-26"
"23843908300540402","2019-08-27","2019-09-30"
"23843917319050402","2019-08-27","2019-09-30"
"23843367958640402","2018-10-26","2018-11-26"
"23843370105560402","2018-10-26","2018-11-26"
"23843370107920402","2018-10-26","2018-11-26"
"23843371432690402","2018-10-26","2018-11-26"
"23843377197380402","2018-10-26","2018-11-26"
"23843923468190402","2019-08-27","2019-09-30"
"23843379077270402","2018-10-26","2018-11-26"
"23843923472610402","2019-08-27","2019-09-30"
"23843923472840402","2019-08-27","2019-09-30"
"23843382392120402","2018-10-26","2018-11-26"
"23843382439490402","2018-10-26","2018-11-26"
"23843382446740402","2018-10-26","2018-11-26"
"23843390371580402","2018-10-26","2018-11-26"
"23843390381280402","2018-10-26","2018-11-26"
"23843395857810402","2018-10-26","2018-11-26"
"23843395937730402","2018-10-26","2018-11-26"
"23843395948150402","2018-10-26","2018-11-26"
"23843322486400402","2018-10-08","2018-10-31"
"23843926095280402","2019-08-27","2019-09-30"
"23843339253680402","2018-10-08","2018-10-31"
"23843935549420402","2019-08-27","2019-09-30"
"23843343973670402","2018-10-08","2018-10-31"
"23843319224900402","2018-10-05","2018-10-23"
"23843299937560402","2018-09-21","2018-09-21"
"23843289303520402","2018-09-14","2018-09-30"
"23843289303880402","2018-09-14","2018-09-30"
"23843289212820402","2018-09-14","2018-09-30"
"23843303617980402","2018-09-14","2018-09-30"
"23843790515150402","2019-07-12","2019-07-19"
"23843793325810402","2019-07-12","2019-07-19"
"23843793325830402","2019-07-12","2019-07-19"
"23843250284890402","2018-08-16","2018-08-31"
"23843250285810402","2018-08-16","2018-08-31"
"23843250288520402","2018-08-16","2018-08-31"
"23843250289110402","2018-08-16","2018-08-31"
"23843652119920402","2019-05-03","2019-05-05"
"23843652149120402","2019-05-03","2019-05-05"
"23843652153120402","2019-05-03","2019-05-05"
"23843646868840402","2019-04-30","2019-05-09"
"23843948040760402","2019-08-27","2019-09-30"
"23843948053830402","2019-08-27","2019-09-30"
"23843953556440402","2019-08-27","2019-09-30"
"23843247639240402","2018-08-16","2018-08-31"
"23843247639810402","2018-08-16","2018-08-31"
"23843249047980402","2018-08-16","2018-08-31"
"23843249059400402","2018-08-16","2018-08-31"
"23843182117930402","2018-07-09","2018-07-15"
"23843646869410402","2019-04-30","2019-05-09"
"23843649910560402","2019-04-30","2019-05-09"
"23843658188170402","2019-04-30","2019-05-09"
"23843658707070402","2019-04-30","2019-05-09"
"23843658707970402","2019-04-30","2019-05-09"
"23843661897630402","2019-04-30","2019-05-09"
"23843661900650402","2019-04-30","2019-05-09"
"23843640847950402","2019-04-26","2019-05-26"
"23843798694940402","2019-07-12","2019-07-19"
"23843798694950402","2019-07-12","2019-07-19"
"23843798696880402","2019-07-12","2019-07-19"
"23843953580670402","2019-08-27","2019-09-30"
"23843958923140402","2019-08-27","2019-09-30"
"23843798699540402","2019-07-12","2019-07-19"
"23843801157070402","2019-07-12","2019-07-19"
"23843801157090402","2019-07-12","2019-07-19"
"23843801157100402","2019-07-12","2019-07-19"
"23843801157110402","2019-07-12","2019-07-19"
"23843803533870402","2019-07-12","2019-07-19"
"23843803533880402","2019-07-12","2019-07-19"
"23843806237030402","2019-07-12","2019-07-19"
"23843966032100402","2019-08-27","2019-09-30"
"23843968170460402","2019-08-27","2019-09-30"
"23843968212720402","2019-08-27","2019-09-30"
"23843968648200402","2019-08-27","2019-09-30"
"23843979877760402","2019-08-27","2019-09-30"
"23843806237040402","2019-07-12","2019-07-19"
"23843790227500402","2019-07-12","2019-07-19"
"23843640848780402","2019-04-26","2019-05-26"
"23843640850040402","2019-04-26","2019-05-26"
"23843652154220402","2019-04-26","2019-05-26"
"23843686554130402","2019-04-26","2019-05-26"
"23843983090360402","2019-08-27","2019-09-30"
"23843595999160402","2019-04-03","2019-04-25"
"23843907973320402","2019-08-27","2019-09-25"
"23843595999630402","2019-04-03","2019-04-25"
